"","seqnames","start","end","width","5k_mdpt_bin","tu_perc"
"1","NC_000913.3",4806,6521,1716,2,0.124708624708625
"2","NC_000913.3",9021,12362,3342,3,0
"3","NC_000913.3",13591,15621,2031,3,0
"4","NC_000913.3",15958,19926,3969,4,0.53716301335349
"5","NC_000913.3",20427,21006,580,5,0
"6","NC_000913.3",25614,30088,4475,6,0.0981005586592179
"7","NC_000913.3",33819,34866,1048,7,0.208969465648855
"8","NC_000913.3",35901,39656,3756,8,0
"9","NC_000913.3",40350,40830,481,9,0
"10","NC_000913.3",41594,43435,1842,9,0
"11","NC_000913.3",43952,48184,4233,10,0.229388140798488
"12","NC_000913.3",48642,53179,4538,11,0.217937417364478
"13","NC_000913.3",58308,59719,1412,12,0.0240793201133144
"14","NC_000913.3",70023,70517,495,15,0.0505050505050505
"15","NC_000913.3",77267,77686,420,16,0.0761904761904762
"16","NC_000913.3",78322,78857,536,16,0.0205223880597015
"17","NC_000913.3",83719,84346,628,17,0.0254777070063694
"18","NC_000913.3",85274,85590,317,18,0
"19","NC_000913.3",107033,122027,14995,23,0.360253417805935
"20","NC_000913.3",128808,132045,3238,27,0
"21","NC_000913.3",134003,137323,3321,28,0.733815115928937
"22","NC_000913.3",137831,139193,1363,28,0.852531181217902
"23","NC_000913.3",141104,148457,7354,29,0.246804460157737
"24","NC_000913.3",149549,151621,2073,31,0
"25","NC_000913.3",152536,157590,5055,32,0
"26","NC_000913.3",167184,167740,557,34,0.606822262118492
"27","NC_000913.3",174743,175221,479,35,0.448851774530271
"28","NC_000913.3",175695,177099,1405,36,0.59288256227758
"29","NC_000913.3",179815,180934,1120,37,0
"30","NC_000913.3",182177,182681,505,37,0
"31","NC_000913.3",183179,184346,1168,37,0
"32","NC_000913.3",201912,202496,585,41,0
"33","NC_000913.3",207109,219000,11892,43,0.143878237470568
"34","NC_000913.3",233974,234424,451,47,0
"35","NC_000913.3",236951,237624,674,48,0
"36","NC_000913.3",238054,241083,3030,48,0.0745874587458746
"37","NC_000913.3",242732,244288,1557,49,0.366730892742453
"38","NC_000913.3",244721,246908,2188,50,0
"39","NC_000913.3",247595,248084,490,50,0
"40","NC_000913.3",253055,253452,398,51,0.266331658291457
"41","NC_000913.3",259982,260259,278,53,1
"42","NC_000913.3",262672,263790,1119,53,0
"43","NC_000913.3",265650,266739,1090,54,0.305504587155963
"44","NC_000913.3",267754,268175,422,54,1
"45","NC_000913.3",268676,271787,3112,55,0
"46","NC_000913.3",273535,274193,659,55,0
"47","NC_000913.3",275044,275394,351,56,1
"48","NC_000913.3",279889,280390,502,57,1
"49","NC_000913.3",290158,290660,503,59,0
"50","NC_000913.3",291919,297609,5691,59,0
"51","NC_000913.3",302540,304542,2003,61,0
"52","NC_000913.3",310647,314231,3585,63,0
"53","NC_000913.3",316524,317655,1132,64,0
"54","NC_000913.3",318295,318860,566,64,0
"55","NC_000913.3",321142,321952,811,65,1
"56","NC_000913.3",322388,322929,542,65,1
"57","NC_000913.3",324270,325664,1395,65,0.620071684587814
"58","NC_000913.3",331403,332745,1343,67,0
"59","NC_000913.3",334982,335550,569,68,0
"60","NC_000913.3",336346,336924,579,68,0
"61","NC_000913.3",343741,347230,3490,70,0
"62","NC_000913.3",348392,348866,475,70,0
"63","NC_000913.3",361260,361964,705,73,0
"64","NC_000913.3",376738,378505,1768,76,0.98868778280543
"65","NC_000913.3",380539,381523,985,77,0
"66","NC_000913.3",383828,385284,1457,77,0
"67","NC_000913.3",389549,391743,2195,79,0
"68","NC_000913.3",394378,395047,670,79,0
"69","NC_000913.3",399130,400420,1291,80,0
"70","NC_000913.3",400720,401949,1230,81,0
"71","NC_000913.3",403163,403743,581,81,0
"72","NC_000913.3",406845,410141,3297,82,0.146800121322414
"73","NC_000913.3",411453,412038,586,83,0.356655290102389
"74","NC_000913.3",419050,419529,480,84,1
"75","NC_000913.3",429054,432485,3432,87,0.0839160839160839
"76","NC_000913.3",435365,439650,4286,88,0.225384974335044
