"","seqnames","start","end","width","5k_mdpt_bin","tu_perc"
"1","NC_000913.3",79,1025,947,1,1
"2","NC_000913.3",1897,2821,925,1,1
"3","NC_000913.3",6589,7053,465,2,0
"4","NC_000913.3",7509,8833,1325,2,0
"5","NC_000913.3",10954,13953,3000,3,0
"6","NC_000913.3",18421,18856,436,4,1
"7","NC_000913.3",20782,23331,2550,5,0
"8","NC_000913.3",54995,55637,643,12,0
"9","NC_000913.3",56085,56597,513,12,0
"10","NC_000913.3",56925,57706,782,12,0
"11","NC_000913.3",62857,63425,569,13,0.715289982425308
"12","NC_000913.3",75691,78714,3024,16,0.531746031746032
"13","NC_000913.3",82937,83711,775,17,1
"14","NC_000913.3",85330,86069,740,18,0
"15","NC_000913.3",89136,92195,3060,19,0
"16","NC_000913.3",92551,93400,850,19,0
"17","NC_000913.3",106426,109235,2810,22,0.581494661921708
"18","NC_000913.3",113135,113622,488,23,0.172131147540984
"19","NC_000913.3",120802,126761,5960,25,0
"20","NC_000913.3",143627,144144,518,29,1
"21","NC_000913.3",149489,150315,827,30,0
"22","NC_000913.3",158951,161990,3040,33,0
"23","NC_000913.3",163902,165515,1614,33,0.923791821561338
"24","NC_000913.3",166986,168569,1584,34,0.861742424242424
"25","NC_000913.3",174629,175467,839,36,0.549463647199047
"26","NC_000913.3",179774,181276,1503,37,0
"27","NC_000913.3",187645,188143,499,38,1
"28","NC_000913.3",188576,191577,3002,39,0.348101265822785
"29","NC_000913.3",195923,198357,2435,40,0
"30","NC_000913.3",201073,202298,1226,41,0
"31","NC_000913.3",219186,222084,2899,45,0.680579510175923
"32","NC_000913.3",222434,229142,6709,46,0.0417349828588463
"33","NC_000913.3",254670,256091,1422,52,0
"34","NC_000913.3",258951,261609,2659,53,0.767957878901843
"35","NC_000913.3",385988,386430,443,78,0
"36","NC_000913.3",388644,389981,1338,78,0
"37","NC_000913.3",396088,396723,636,80,1
"38","NC_000913.3",400245,403067,2823,81,0
"39","NC_000913.3",406129,406477,349,82,1
"40","NC_000913.3",406766,407194,429,82,1
"41","NC_000913.3",416107,419966,3860,84,0.890414507772021
"42","NC_000913.3",424743,425133,391,85,0
"43","NC_000913.3",427000,429454,2455,86,0
"44","NC_000913.3",431567,432364,798,87,0.209273182957393
"45","NC_000913.3",433701,434158,458,87,1
"46","NC_000913.3",441114,442180,1067,89,1
"47","NC_000913.3",446889,459188,12300,91,0.277642276422764
"48","NC_000913.3",461204,461723,520,93,1
"49","NC_000913.3",477938,480545,2608,96,0
"50","NC_000913.3",483494,484849,1356,97,0
"51","NC_000913.3",485162,487842,2681,98,0.777321894815367
"52","NC_000913.3",490852,491561,710,99,0
"53","NC_000913.3",503772,504248,477,101,0.29979035639413
"54","NC_000913.3",553596,555039,1444,111,0
"55","NC_000913.3",575706,577766,2061,116,0
"56","NC_000913.3",596884,597655,772,120,0
"57","NC_000913.3",601769,602637,869,121,0
"58","NC_000913.3",620238,620679,442,125,1
"59","NC_000913.3",638484,639238,755,128,0
"60","NC_000913.3",656917,657478,562,132,0
"61","NC_000913.3",667326,667723,398,134,0
"62","NC_000913.3",673909,675283,1375,135,0
"63","NC_000913.3",676009,676437,429,136,0
"64","NC_000913.3",696300,697491,1192,140,0.63506711409396
"65","NC_000913.3",700144,700737,594,141,0
"66","NC_000913.3",701325,705351,4027,141,0.0176309908120189
"67","NC_000913.3",710521,710966,446,143,0
"68","NC_000913.3",711385,714046,2662,143,0
"69","NC_000913.3",739441,739996,556,148,0
"70","NC_000913.3",747719,748240,522,150,0
"71","NC_000913.3",749428,749932,505,150,0
"72","NC_000913.3",753736,756619,2884,152,0
"73","NC_000913.3",770748,772417,1670,155,0
"74","NC_000913.3",774487,774949,463,155,1
"75","NC_000913.3",776226,777213,988,156,0.611336032388664
"76","NC_000913.3",780106,781621,1516,157,0
"77","NC_000913.3",848640,850680,2041,170,0.218030377266046
"78","NC_000913.3",852823,853322,500,171,1
"79","NC_000913.3",855283,855873,591,172,1
"80","NC_000913.3",883162,883704,543,177,0
"81","NC_000913.3",893270,893998,729,179,0
"82","NC_000913.3",918209,919425,1217,184,0.796220213640099
"83","NC_000913.3",930669,935258,4590,187,0.632244008714597
"84","NC_000913.3",953101,955728,2628,191,0.622146118721461
"85","NC_000913.3",956369,958953,2585,192,0.833268858800774
"86","NC_000913.3",960349,961329,981,193,0
"87","NC_000913.3",961677,963952,2276,193,0.180579964850615
"88","NC_000913.3",975598,976034,437,196,1
"89","NC_000913.3",986780,987231,452,198,0
"90","NC_000913.3",989971,991731,1761,199,1
"91","NC_000913.3",1005336,1006163,828,202,0
"92","NC_000913.3",1007248,1007803,556,202,1
"93","NC_000913.3",1019191,1020603,1413,204,0
"94","NC_000913.3",1022567,1023111,545,205,1
"95","NC_000913.3",1027728,1028113,386,206,0
"96","NC_000913.3",1031316,1031811,496,207,0
"97","NC_000913.3",1050354,1051602,1249,211,0
"98","NC_000913.3",1092565,1092922,358,219,0
"99","NC_000913.3",1096879,1097713,835,220,0
"100","NC_000913.3",1100215,1100910,696,221,0
"101","NC_000913.3",1108167,1109964,1798,222,0
"102","NC_000913.3",1110989,1111642,654,223,0
"103","NC_000913.3",1142832,1150400,7569,230,0
"104","NC_000913.3",1157552,1159262,1711,232,0
"105","NC_000913.3",1173848,1175599,1752,235,0.58675799086758
"106","NC_000913.3",1193056,1195627,2572,239,0
"107","NC_000913.3",1225921,1226612,692,246,0
"108","NC_000913.3",1234185,1235249,1065,247,0
"109","NC_000913.3",1249577,1251275,1699,251,0
"110","NC_000913.3",1261536,1262065,530,253,0
"111","NC_000913.3",1262804,1264171,1368,253,0.932017543859649
"112","NC_000913.3",1292657,1293896,1240,259,0
"113","NC_000913.3",1296857,1299443,2587,260,0
"114","NC_000913.3",1300710,1305413,4704,261,0.121173469387755
"115","NC_000913.3",1310259,1310765,507,263,0
"116","NC_000913.3",1328432,1328958,527,266,0.223908918406072
"117","NC_000913.3",1463525,1463970,446,293,0
"118","NC_000913.3",1482727,1483070,344,297,1
"119","NC_000913.3",1530143,1530751,609,307,0
"120","NC_000913.3",1562966,1563486,521,313,0
"121","NC_000913.3",1677350,1679971,2622,336,0.816933638443936
"122","NC_000913.3",1704222,1706870,2649,342,1
"123","NC_000913.3",1707183,1708558,1376,342,1
"124","NC_000913.3",1712723,1713827,1105,343,0.704977375565611
"125","NC_000913.3",1718764,1720085,1322,344,0.78517397881997
"126","NC_000913.3",1734081,1734694,614,347,0
"127","NC_000913.3",1737505,1737977,473,348,0
"128","NC_000913.3",1755029,1755556,528,352,0.198863636363636
"129","NC_000913.3",1755953,1756525,573,352,0
"130","NC_000913.3",1757159,1757660,502,352,1
"131","NC_000913.3",1798844,1801283,2440,361,0
"132","NC_000913.3",1801610,1803018,1409,361,0
"133","NC_000913.3",1847615,1849206,1592,370,0.89572864321608
"134","NC_000913.3",1859432,1859957,526,372,0
"135","NC_000913.3",1861341,1863688,2348,373,0
"136","NC_000913.3",1871877,1872387,511,375,0
"137","NC_000913.3",1901330,1902355,1026,381,0
"138","NC_000913.3",1913779,1917559,3781,384,0.89764612536366
"139","NC_000913.3",1937179,1937554,376,388,0
"140","NC_000913.3",1942755,1943155,401,389,1
"141","NC_000913.3",1948191,1948657,467,390,0
"142","NC_000913.3",1950310,1952636,2327,391,0.914052428018909
"143","NC_000913.3",1958487,1959021,535,392,1
"144","NC_000913.3",1977808,1978368,561,396,0
"145","NC_000913.3",1991700,1992357,658,399,1
"146","NC_000913.3",2031672,2032134,463,407,0
"147","NC_000913.3",2042565,2044712,2148,409,0
"148","NC_000913.3",2053991,2054938,948,411,0
"149","NC_000913.3",2085768,2087042,1275,418,0
"150","NC_000913.3",2088042,2090246,2205,418,1
"151","NC_000913.3",2100521,2101825,1305,421,0.315708812260536
"152","NC_000913.3",2102809,2109999,7191,422,0.99874843554443
"153","NC_000913.3",2111292,2113427,2136,423,0
"154","NC_000913.3",2142140,2144111,1972,429,1
"155","NC_000913.3",2144608,2145146,539,429,0
"156","NC_000913.3",2153096,2154058,963,431,1
"157","NC_000913.3",2175327,2178822,3496,436,0.566647597254005
"158","NC_000913.3",2192562,2193316,755,439,1
"159","NC_000913.3",2193963,2195469,1507,439,0.260119442601194
"160","NC_000913.3",2221730,2223232,1503,445,0.127744510978044
"161","NC_000913.3",2230307,2232140,1834,447,0
"162","NC_000913.3",2250845,2251376,532,451,0
"163","NC_000913.3",2263216,2264863,1648,453,0
"164","NC_000913.3",2265198,2266800,1603,454,0.613849033063007
"165","NC_000913.3",2267164,2268173,1010,454,0.420792079207921
"166","NC_000913.3",2268832,2270794,1963,454,0.9587366276108
"167","NC_000913.3",2278114,2278579,466,456,0
"168","NC_000913.3",2279507,2280013,507,456,0
"169","NC_000913.3",2280443,2281263,821,457,0
"170","NC_000913.3",2283679,2285076,1398,457,0.342632331902718
"171","NC_000913.3",2290167,2290532,366,459,1
"172","NC_000913.3",2303630,2304130,501,461,1
"173","NC_000913.3",2311669,2314954,3286,463,0.967741935483871
"174","NC_000913.3",2315675,2316004,330,464,1
"175","NC_000913.3",2337453,2337963,511,468,0
"176","NC_000913.3",2338418,2340761,2344,468,0.991467576791809
"177","NC_000913.3",2341832,2342281,450,469,0.797777777777778
"178","NC_000913.3",2344386,2346113,1728,470,1
"179","NC_000913.3",2352256,2352985,730,471,0
"180","NC_000913.3",2381349,2381738,390,477,0
"181","NC_000913.3",2390736,2393266,2531,479,0
"182","NC_000913.3",2393580,2397272,3693,480,0
"183","NC_000913.3",2398900,2400359,1460,480,0
"184","NC_000913.3",2400862,2408028,7167,481,0.333333333333333
"185","NC_000913.3",2412245,2414220,1976,483,1
"186","NC_000913.3",2440530,2442305,1776,489,0.710585585585586
"187","NC_000913.3",2448221,2448859,639,490,0
"188","NC_000913.3",2460372,2462003,1632,493,0
"189","NC_000913.3",2464953,2465669,717,494,0
"190","NC_000913.3",2466109,2466929,821,494,1
"191","NC_000913.3",2467688,2470533,2846,494,0.279690794096978
"192","NC_000913.3",2482323,2482776,454,497,0
"193","NC_000913.3",2483344,2485801,2458,497,0
"194","NC_000913.3",2498223,2498932,710,500,0
"195","NC_000913.3",2508139,2508708,570,502,0
"196","NC_000913.3",2511511,2512212,702,503,0
"197","NC_000913.3",2512514,2514138,1625,503,0.292307692307692
"198","NC_000913.3",2516943,2517291,349,504,0
"199","NC_000913.3",2517915,2518895,981,504,0
"200","NC_000913.3",2519954,2521460,1507,505,0.471798274717983
"201","NC_000913.3",2530221,2536232,6012,507,0.473220226214238
"202","NC_000913.3",2560593,2561489,897,513,0
"203","NC_000913.3",2598888,2600612,1725,520,0
"204","NC_000913.3",2617129,2617819,691,524,1
"205","NC_000913.3",2619716,2620433,718,525,1
"206","NC_000913.3",2622905,2623576,672,525,1
"207","NC_000913.3",2629065,2629645,581,526,0
"208","NC_000913.3",2639010,2639527,518,528,0
"209","NC_000913.3",2639915,2641528,1614,529,0
"210","NC_000913.3",2642483,2643185,703,529,0.216216216216216
"211","NC_000913.3",2654409,2654837,429,531,0
"212","NC_000913.3",2661136,2663844,2709,533,0
"213","NC_000913.3",2664188,2664795,608,533,0
"214","NC_000913.3",2665216,2666049,834,534,0
"215","NC_000913.3",2685518,2686104,587,538,1
"216","NC_000913.3",2694984,2695384,401,540,0
"217","NC_000913.3",2706970,2707430,461,542,1
"218","NC_000913.3",2708136,2712137,4002,543,0.0289855072463768
"219","NC_000913.3",2712843,2713581,739,543,0
"220","NC_000913.3",2724370,2725320,951,545,0
"221","NC_000913.3",2725916,2737731,11816,547,0.0645734597156398
"222","NC_000913.3",2744212,2749108,4897,550,0
"223","NC_000913.3",2750420,2751454,1035,551,1
"224","NC_000913.3",2753560,2754164,605,551,0
"225","NC_000913.3",2755437,2756046,610,552,0
"226","NC_000913.3",2768464,2768825,362,554,0
"227","NC_000913.3",2798187,2799897,1711,560,0
"228","NC_000913.3",2804249,2807465,3217,562,0.589679825924775
"229","NC_000913.3",2817502,2819128,1627,564,0
"230","NC_000913.3",2825434,2826982,1549,566,0
"231","NC_000913.3",2828378,2829356,979,566,0
"232","NC_000913.3",2872811,2873777,967,575,1
"233","NC_000913.3",2879820,2880975,1156,577,0
"234","NC_000913.3",2910589,2911131,543,583,1
